,C4,grupo
0,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([3.5740884e-03, 1.5387785e-03, 1.3707533e-03, ..., 2.7648042e-16,
       2.4197651e-16, 5.3478590e-17], shape=(1025,), dtype=float32))",CV
1,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([3.6468059e-03, 1.5661594e-03, 3.0782698e-03, ..., 1.3727551e-16,
       1.3541115e-16, 5.8017694e-17], shape=(1025,), dtype=float32))",CV
2,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([1.1788289e-02, 4.6544764e-03, 1.6343717e-02, ..., 1.7479483e-16,
       1.8796094e-16, 4.4164103e-17], shape=(1025,), dtype=float32))",CV
3,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([2.2017965e-02, 6.9858921e-03, 3.2706883e-02, ..., 5.5917161e-16,
       2.3693941e-16, 8.6813743e-17], shape=(1025,), dtype=float32))",CV
4,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([4.51080836e-02, 1.26228295e-02, 1.17868394e-01, ...,
       5.57730538e-16, 3.18305558e-16, 2.69277465e-16],
      shape=(1025,), dtype=float32))",CV
5,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([2.25724857e-02, 9.80419852e-03, 1.15615064e-02, ...,
       2.26718930e-16, 3.32332636e-16, 1.02345476e-16],
      shape=(1025,), dtype=float32))",CV
6,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([1.7563809e-02, 8.3737429e-03, 2.2016589e-02, ..., 2.5789056e-16,
       1.9491534e-16, 1.2061007e-16], shape=(1025,), dtype=float32))",CV
7,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([1.0786340e-02, 3.8461087e-03, 5.0217393e-03, ..., 1.7976433e-16,
       9.8473973e-17, 5.3131286e-17], shape=(1025,), dtype=float32))",CV
8,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([1.4147889e-02, 6.5256441e-03, 9.7361933e-03, ..., 1.8860410e-16,
       2.8854003e-16, 9.8206350e-17], shape=(1025,), dtype=float32))",CV
9,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([2.6862468e-03, 1.1511148e-03, 3.5273919e-03, ..., 1.9958820e-16,
       1.3979883e-16, 3.6466555e-17], shape=(1025,), dtype=float32))",CV
10,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([1.1677742e-02, 4.4004158e-03, 5.1016086e-03, ..., 2.7406852e-16,
       2.6188210e-16, 8.6995928e-17], shape=(1025,), dtype=float32))",CV
11,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([4.4632265e-03, 2.1551573e-03, 2.6511727e-03, ..., 1.5762465e-16,
       1.6776725e-16, 2.7220390e-17], shape=(1025,), dtype=float32))",CV
12,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([5.1299324e-03, 1.8969801e-03, 4.3863379e-03, ..., 1.5797587e-16,
       1.4429844e-16, 1.1352742e-16], shape=(1025,), dtype=float32))",CV
13,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([5.1992182e-03, 1.9716008e-03, 4.7102519e-03, ..., 2.4722674e-16,
       1.5917366e-16, 6.1671470e-17], shape=(1025,), dtype=float32))",CV
14,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([4.9753706e-03, 1.7008448e-03, 3.1418828e-03, ..., 2.0550015e-16,
       1.4707127e-16, 3.6944808e-17], shape=(1025,), dtype=float32))",CV
15,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([1.0992270e-02, 4.8778821e-03, 2.3218654e-03, ..., 2.7911332e-16,
       2.0708313e-16, 4.8787185e-17], shape=(1025,), dtype=float32))",CV
16,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([7.5816950e-03, 2.9153840e-03, 3.5575468e-03, ..., 6.2506267e-17,
       1.8391910e-16, 1.2142994e-16], shape=(1025,), dtype=float32))",CV
17,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([8.9622363e-03, 3.1191735e-03, 6.2830220e-03, ..., 1.9769085e-16,
       3.2896107e-16, 4.5183232e-17], shape=(1025,), dtype=float32))",CV
18,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([1.0093957e-02, 4.0604440e-03, 3.4508752e-03, ..., 1.3093908e-16,
       1.4089014e-16, 1.2448163e-16], shape=(1025,), dtype=float32))",CV
19,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([7.9814428e-03, 3.3926289e-03, 3.7584135e-03, ..., 1.2643376e-16,
       1.7305272e-16, 7.4151514e-17], shape=(1025,), dtype=float32))",CV
20,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([9.4723720e-03, 3.2809612e-03, 4.8656953e-03, ..., 3.1313199e-16,
       6.4756182e-16, 1.5713924e-16], shape=(1025,), dtype=float32))",CV
21,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([9.9393167e-03, 3.7535566e-03, 6.1353045e-03, ..., 4.6538912e-16,
       4.7051844e-16, 1.4069657e-16], shape=(1025,), dtype=float32))",CV
22,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([6.4244005e-03, 2.3974502e-03, 1.9555518e-03, ..., 2.1114166e-16,
       1.3682929e-16, 1.5395092e-17], shape=(1025,), dtype=float32))",CV
23,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([7.9762330e-03, 3.5983697e-03, 2.9791805e-03, ..., 1.9553945e-16,
       1.6521151e-16, 3.5344945e-17], shape=(1025,), dtype=float32))",CV
24,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([5.3537716e-03, 2.2134350e-03, 2.7515395e-03, ..., 1.1422675e-16,
       2.2535161e-16, 3.5982615e-17], shape=(1025,), dtype=float32))",CV
25,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([4.9035121e-03, 2.3258473e-03, 6.9411448e-03, ..., 1.2675045e-16,
       1.7077637e-16, 9.4107055e-17], shape=(1025,), dtype=float32))",CV
26,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([1.6245963e-02, 8.4478166e-03, 1.0089000e-02, ..., 1.7767572e-16,
       4.2370700e-16, 8.3853152e-17], shape=(1025,), dtype=float32))",CV
27,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([3.30269597e-02, 1.26184225e-02, 1.92458648e-02, ...,
       2.69687402e-16, 2.64292888e-16, 9.27349339e-17],
      shape=(1025,), dtype=float32))",CV
28,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([1.6597454e-02, 5.9951050e-03, 8.2250480e-03, ..., 1.1607881e-16,
       1.2326555e-16, 3.3614135e-17], shape=(1025,), dtype=float32))",CV
29,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([1.5641328e-02, 6.2306467e-03, 4.1099139e-03, ..., 1.2602454e-16,
       1.4816091e-16, 9.9612623e-17], shape=(1025,), dtype=float32))",CV
30,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([2.00581521e-01, 1.05234995e-01, 2.07992792e-01, ...,
       1.47912451e-15, 9.07398233e-16, 1.66485628e-15],
      shape=(1025,), dtype=float32))",CV
31,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([6.8325470e-03, 2.0871593e-03, 1.1024342e-02, ..., 2.2392629e-16,
       1.2122443e-16, 7.3627710e-17], shape=(1025,), dtype=float32))",CV
32,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([7.3001012e-02, 2.7126219e-02, 3.0188944e-02, ..., 3.9695757e-16,
       3.8658319e-16, 2.6900416e-16], shape=(1025,), dtype=float32))",CV
33,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([1.9475589e-02, 6.9039362e-03, 2.6250578e-02, ..., 2.0072831e-16,
       1.8830405e-16, 6.1580367e-17], shape=(1025,), dtype=float32))",CV
34,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([1.4196328e-02, 6.4141033e-03, 7.6830611e-03, ..., 1.9371557e-16,
       1.8185227e-16, 9.5649991e-17], shape=(1025,), dtype=float32))",CV
35,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([4.6542371e-03, 1.9664196e-03, 5.6097698e-03, ..., 1.6434717e-16,
       1.0102535e-16, 3.8607289e-17], shape=(1025,), dtype=float32))",CV
36,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([3.0724371e-03, 1.4129977e-03, 2.0389403e-03, ..., 1.8120618e-16,
       1.9801485e-16, 2.7539223e-17], shape=(1025,), dtype=float32))",CV
37,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([7.1031926e-03, 2.9520106e-03, 2.7934590e-03, ..., 1.2394358e-16,
       2.3618291e-16, 7.7476489e-17], shape=(1025,), dtype=float32))",CV
38,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([7.5721075e-03, 2.9215068e-03, 4.6439227e-03, ..., 1.3953583e-16,
       2.3196564e-16, 6.2400229e-17], shape=(1025,), dtype=float32))",CV
39,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([4.2777569e-03, 1.8357297e-03, 2.7335060e-03, ..., 1.7507198e-16,
       1.2371807e-16, 4.8121047e-17], shape=(1025,), dtype=float32))",CV
40,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([4.8562232e-03, 2.0195474e-03, 3.8524063e-03, ..., 1.3606810e-16,
       8.4995567e-17, 4.8217840e-17], shape=(1025,), dtype=float32))",CV
41,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([9.1333035e-03, 3.2421073e-03, 3.7143948e-03, ..., 2.8655567e-16,
       1.4684344e-16, 4.2564246e-17], shape=(1025,), dtype=float32))",CV
42,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([9.8518170e-03, 4.0805335e-03, 6.0991277e-03, ..., 2.1938290e-16,
       1.3004595e-16, 1.5293180e-16], shape=(1025,), dtype=float32))",CV
43,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([1.0045042e-02, 3.9930758e-03, 5.1555145e-03, ..., 9.0649704e-17,
       1.6243812e-16, 5.4383850e-17], shape=(1025,), dtype=float32))",CV
44,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([8.6916415e-03, 3.1673422e-03, 5.5985618e-03, ..., 2.4169990e-16,
       1.2733020e-16, 8.6289953e-17], shape=(1025,), dtype=float32))",CV
45,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([6.7373258e-03, 2.7749254e-03, 4.0265759e-03, ..., 1.6745366e-16,
       1.8067333e-16, 8.3904390e-17], shape=(1025,), dtype=float32))",CV
46,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([6.7872731e-03, 2.7713424e-03, 3.1637491e-03, ..., 2.0620044e-16,
       2.9562424e-16, 7.3081149e-17], shape=(1025,), dtype=float32))",CV
47,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([3.3337905e-03, 1.4785829e-03, 6.8849702e-03, ..., 2.5799718e-16,
       2.8800841e-16, 4.4682202e-17], shape=(1025,), dtype=float32))",CV
48,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([2.7292900e-02, 9.4544599e-03, 8.1570074e-02, ..., 3.1777452e-16,
       5.5178363e-16, 5.5497482e-16], shape=(1025,), dtype=float32))",CV
49,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([2.1496264e-02, 4.3055234e-03, 1.9265119e-02, ..., 4.2358794e-16,
       4.0832565e-16, 3.7462911e-17], shape=(1025,), dtype=float32))",CV
50,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([2.9139353e-02, 1.1118939e-02, 1.6399790e-02, ..., 3.2704392e-16,
       1.2527445e-16, 9.7221370e-17], shape=(1025,), dtype=float32))",CV
51,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([1.18978415e-02, 4.49830480e-03, 4.27227886e-03, ...,
       3.07210141e-16, 4.22459085e-16, 1.33181201e-16],
      shape=(1025,), dtype=float32))",CV
52,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([8.6002098e-03, 2.5427511e-03, 1.6344162e-02, ..., 2.2514914e-16,
       1.3142399e-16, 8.8817837e-17], shape=(1025,), dtype=float32))",CV
53,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([1.3282541e-02, 3.7919173e-03, 1.7285077e-02, ..., 2.8152977e-16,
       1.9837993e-16, 1.4367995e-16], shape=(1025,), dtype=float32))",CV
54,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([8.8957762e-03, 3.7789198e-03, 1.6971081e-02, ..., 4.0963601e-16,
       2.5593058e-16, 3.7733918e-16], shape=(1025,), dtype=float32))",CV
55,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([1.4796211e-02, 5.5346037e-03, 1.7016686e-02, ..., 9.1026885e-17,
       7.5631102e-17, 6.5087540e-17], shape=(1025,), dtype=float32))",CV
56,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([2.00319458e-02, 8.64809845e-03, 1.01956449e-01, ...,
       3.17248805e-16, 2.25554604e-16, 1.00637454e-16],
      shape=(1025,), dtype=float32))",CV
57,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([1.6994406e-01, 5.5166405e-02, 1.2710777e-01, ..., 3.3867654e-16,
       5.3547549e-16, 2.5224265e-16], shape=(1025,), dtype=float32))",CV
58,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([7.45647326e-02, 3.55911590e-02, 4.04857174e-02, ...,
       8.78386401e-16, 5.91199404e-16, 1.00660224e-16],
      shape=(1025,), dtype=float32))",CV
59,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([1.0747471e-02, 4.5930599e-03, 1.6846549e-02, ..., 3.5469348e-16,
       2.2352559e-16, 2.1480254e-16], shape=(1025,), dtype=float32))",CV
60,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([1.26680965e-02, 5.06225415e-03, 1.46157695e-02, ...,
       3.20043114e-16, 2.54100170e-16, 1.01707825e-16],
      shape=(1025,), dtype=float32))",CV
61,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([4.2591766e-03, 1.6299987e-03, 7.3798429e-03, ..., 2.2929237e-16,
       2.7803613e-16, 1.5415588e-16], shape=(1025,), dtype=float32))",CV
62,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([2.1952575e-03, 1.0286894e-03, 3.3029215e-03, ..., 1.7080925e-16,
       1.9556810e-16, 1.0915485e-16], shape=(1025,), dtype=float32))",CV
63,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([7.6376023e-03, 2.8352009e-03, 3.6883263e-03, ..., 1.7093233e-16,
       1.9888222e-16, 8.4468058e-17], shape=(1025,), dtype=float32))",CV
64,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([3.6288169e-03, 1.4536392e-03, 3.5266469e-03, ..., 2.4245082e-16,
       1.5813025e-16, 9.5763844e-17], shape=(1025,), dtype=float32))",CV
65,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([9.1731390e-03, 4.1081505e-03, 5.3351903e-03, ..., 2.1445522e-16,
       3.5571217e-16, 1.2272805e-16], shape=(1025,), dtype=float32))",CV
66,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([2.9251575e-03, 1.1435454e-03, 3.6613136e-03, ..., 9.7693928e-17,
       1.3950060e-16, 2.6986958e-17], shape=(1025,), dtype=float32))",CV
67,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([4.8236102e-03, 1.8179822e-03, 3.2985087e-03, ..., 1.8489198e-16,
       1.4424945e-16, 7.8797364e-17], shape=(1025,), dtype=float32))",CV
68,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([9.7970646e-03, 3.8170912e-03, 8.1054233e-03, ..., 1.7683417e-16,
       2.0070718e-16, 6.7865941e-17], shape=(1025,), dtype=float32))",CV
69,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([5.8727778e-02, 2.7224453e-02, 5.9687052e-02, ..., 3.6908362e-16,
       1.2482588e-15, 3.9444230e-17], shape=(1025,), dtype=float32))",CV
70,"(array([0.00000000e+00, 4.88281250e-01, 9.76562500e-01, ...,
       4.99023438e+02, 4.99511719e+02, 5.00000000e+02], shape=(1025,)), array([5.8958554e-03, 2.3116027e-03, 7.8410301e-03, ..., 8.0695437e-16,
       4.0896524e-16, 1.2580251e-16], shape=(1025,), dtype=float32))",CV
